22 67 16
5 52 16
4 48 22
6 49 20
6 47 13
12 44 19
19 44 20
16 33 16
26 39 15
21 35 17
17 26 12
15 26 8
12 27 6
10 22 8
9 22 7
10 30 6
12 39 8
11 40 8
15 55 9
12 73 26
16 98 19
7 71 19
13 70 21
8 70 26
7 59 28
7 55 22
4 47 31
6 40 26
2 36 21
2 27 17
4 27 21
7 26 16
7 21 18
10 21 23
11 24 18
7 24 15
9 35 16
7 39 25
3 25 23
4 30 20
5 34 16
4 49 21
5 72 24
11 102 40
6 82 26
3 65 29
6 62 32
2 48 35
1 25 18
1 11 4
2 23 5
3 30 9
6 36 11
16 60 17
47 85 33
60 80 38
35 64 29
31 63 23
22 58 22
19 62 17
13 46 18
19 54 17
17 48 22
14 43 28
11 35 31
9 43 27
5 39 26
5 32 8
1 17 8
2 17 9
1 17 22
1 14 22
0 11 17
0 10 24
0 8 7
2 14 7
2 17 18
9 29 19
18 45 14
27 56 14
17 47 21
20 60 18
27 61 18
20 51 23
18 44 6
13 36 6
20 44 6
18 40 9
17 41 10
14 33 8
9 35 9
7 41 9
6 41 14
3 26 11
2 20 11
0 14 11
0 20 6
-2 14 16
2 16 16
6 31 9
8 29 10
15 31 16
46 42 16
59 46 21
36 43 23
17 31 27
15 29 27
14 34 20
12 29 12
20 43 12
15 37 16
17 46 6
15 44 12
16 53 15
14 50 16
5 43 16
3 42 13
1 27 13
0 20 12
0 23 12
2 38 21
0 26 26
6 27 28
6 32 28
24 37 28
71 47 26
115 46 26
81 41 25
51 40 35
44 43 32
21 36 32
18 39 28
18 32 34
12 28 20
16 32 20
11 30 22
10 25 15
13 37 13
11 40 9
9 35 8
7 43 16
6 40 15
3 31 13
1 22 19
1 17 20
0 21 18
2 22 15
4 21 14
5 25 17
25 34 25
38 38 17
45 41 27
29 33 27
21 24 23
20 23 25
18 25 25
19 25 18
18 24 17
13 25 17
15 27 20
12 22 14
9 19 22
7 20 12
7 22 15
5 18 10
4 21 10
3 15 8
1 7 8
0 7 9
0 9 9
1 12 8
2 12 5
2 11 7
1 14 11
6 20 16
8 22 17
11 21 17
13 18 9
12 23 10
13 27 10
9 19 10
10 21 8
10 21 9
10 19 12
10 24 8
8 20 6
7 26 6
5 24 10
4 20 12
3 18 9
5 23 16
1 18 15
2 17 15
0 14 17
2 10 12
2 7 11
0 2 17
1 4 12
2 6 12
3 7 16
4 4 12
3 2 11
4 3 10
4 0 10
6 8 9
4 4 10
5 5 11
5 4 10
5 3 11
4 4 10
3 6 11
3 7 11
4 11 10
1 11 18
1 2 11
0 -2 7
0 1 3
-1 3 6
1 6 6
4 20 7
3 20 4
13 33 4
29 45 8
55 56 11
54 53 41
57 45 19
35 42 6
19 34 10
17 33 12
22 35 9
16 31 8
21 37 11
15 38 10
22 43 6
5 29 8
8 37 12
5 38 13
6 48 12
1 20 21
0 12 11
-1 8 10
-1 14 11
9 39 10
10 43 16
8 36 12
32 47 11
72 58 11
89 63 11
58 48 25
15 24 22
10 25 11
32 48 16
26 44 22
38 56 13
41 54 13
21 39 26
25 45 15
18 37 14
22 46 10
19 46 8
11 48 7
10 50 4
23 48 6
24 46 11
13 41 11
16 40 10
47 41 8
67 40 10
145 51 16
168 59 18
158 58 26
223 64 28
118 55 33
71 54 35
42 51 46
78 40 34
43 48 36
24 39 41
22 36 37
24 43 28
21 41 17
14 38 11
12 36 12
15 51 11
9 51 11
11 54 11
13 59 10
5 45 16
3 40 11
3 35 7
8 38 6
10 38 6
20 43 5
45 49 9
67 50 16
71 45 15
51 41 19
42 41 25
29 36 18
26 33 12
25 27 11
16 31 11
18 32 13
20 39 12
15 36 9
13 35 5
11 39 9
14 55 12
6 45 11
7 47 10
6 46 9
2 41 12
2 38 12
1 35 16
5 36 14
7 37 17
19 43 19
57 50 20
64 54 26
75 50 30
63 49 29
111 49 28
46 48 31
25 40 27
21 38 19
15 32 16
13 30 8
15 31 10
13 39 10
19 61 15
19 70 14
17 68 13
23 77 22
28 74 28
37 72 24
39 68 28
29 60 27
38 58 20
41 51 26
74 57 22
62 54 28
56 51 21
60 51 25
44 55 23
13 45 24
10 37 17
11 30 16
7 25 14
9 24 14
8 18 14
7 29 12
19 55 20
21 61 25
29 75 26
14 62 21
14 62 21
4 36 17
7 37 13
3 38 15
3 25 18
