0 0 0 0
-2.507845 -1.758954 0.7961212 -20.58318
-0.609759 -37.94151 -7.301527 85.72347
-32.59715 -29.15298 -17.24097 -54.12913
-32.46771 -17.57503 -18.31237 -6.989223
-32.73524 -10.19379 -18.35287 15.76395
1.051033 -2.829558 2.138399 -50.03877
0.3754282 -3.779029 0.2881239 -46.87491
1.114895 0.7065283 0.9167274 -3.615892
-65.48458 -7.779407 -30.26807 -119.5636
-64.78067 3.999893 -31.35215 -71.04242
-65.99704 9.580156 -31.30734 -43.01643
1.992192 -10.03714 0.8873194 -60.9889
4.909109 -3.556472 1.666871 -86.99652
-31.71027 -2.965301 3.280847 -51.68843
-30.21172 8.21066 2.323267 -12.71967
-31.97773 14.49423 2.141204 12.57283
-62.93062 1.046375 3.321747 -48.73444
-62.91669 7.060779 3.197333 -24.54357
-64.22988 10.63654 2.738715 -5.7114
